,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
694,srv_count,same_srv_rate,0.6766169154228856,0.6567164179104478,0.6119402985074627,0.648424543946932
765,srv_rerror_rate,dst_host_serror_rate,0.6616915422885572,0.6467661691542289,0.6368159203980099,0.648424543946932
211,dst_bytes,count,0.6318407960199005,0.6915422885572139,0.6218905472636815,0.6484245439469319
152,flag,dst_host_srv_diff_host_rate,0.6666666666666666,0.6368159203980099,0.6417910447761194,0.6484245439469319
110,service,dst_host_srv_count,0.6268656716417911,0.6119402985074627,0.7014925373134329,0.6467661691542289
178,src_bytes,srv_serror_rate,0.6567164179104478,0.6318407960199005,0.6517412935323383,0.6467661691542289
382,num_failed_logins,same_srv_rate,0.6666666666666666,0.6318407960199005,0.6417910447761194,0.6467661691542288
185,src_bytes,dst_host_srv_count,0.6666666666666666,0.6218905472636815,0.6517412935323383,0.6467661691542288
165,src_bytes,num_compromised,0.6218905472636815,0.6368159203980099,0.681592039800995,0.6467661691542288
725,srv_serror_rate,rerror_rate,0.6069651741293532,0.6716417910447762,0.6567164179104478,0.6451077943615258
82,service,src_bytes,0.6467661691542289,0.6218905472636815,0.6666666666666666,0.6451077943615257
125,flag,hot,0.6666666666666666,0.6567164179104478,0.6119402985074627,0.6451077943615257
855,dst_host_srv_serror_rate,dst_host_rerror_rate,0.6368159203980099,0.6865671641791045,0.6119402985074627,0.6451077943615257
90,service,num_compromised,0.6218905472636815,0.6567164179104478,0.6517412935323383,0.6434494195688226
594,num_access_files,same_srv_rate,0.5970149253731343,0.6616915422885572,0.6716417910447762,0.6434494195688226
162,src_bytes,hot,0.6567164179104478,0.6368159203980099,0.6368159203980099,0.6434494195688225
94,service,num_file_creations,0.6766169154228856,0.6169154228855721,0.6318407960199005,0.6417910447761194
710,serror_rate,srv_rerror_rate,0.5970149253731343,0.6716417910447762,0.6567164179104478,0.6417910447761194
41,protocol_type,service,0.6716417910447762,0.572139303482587,0.681592039800995,0.6417910447761194
224,dst_bytes,dst_host_same_src_port_rate,0.681592039800995,0.6268656716417911,0.6169154228855721,0.6417910447761194
193,src_bytes,dst_host_srv_rerror_rate,0.681592039800995,0.6218905472636815,0.6218905472636815,0.6417910447761194
72,protocol_type,dst_host_same_srv_rate,0.6467661691542289,0.6368159203980099,0.6417910447761194,0.6417910447761194
151,flag,dst_host_same_src_port_rate,0.6417910447761194,0.5970149253731343,0.681592039800995,0.6401326699834162
123,flag,wrong_fragment,0.6915422885572139,0.6368159203980099,0.5920398009950248,0.6401326699834162
107,service,diff_srv_rate,0.6716417910447762,0.6517412935323383,0.5970149253731343,0.6401326699834162
137,flag,is_guest_login,0.6417910447761194,0.6368159203980099,0.6417910447761194,0.6401326699834162
