,Feature 1,Feature 2,Accuracy 1,Accuracy 2,Accuracy 3,Average Accuracy
295,wrong_fragment,dst_host_serror_rate,0.46766169154228854,0.4626865671641791,0.42786069651741293,0.4527363184079602
606,num_access_files,dst_host_srv_rerror_rate,0.4427860696517413,0.4527363184079602,0.4626865671641791,0.4527363184079602
717,serror_rate,dst_host_diff_srv_rate,0.4925373134328358,0.4427860696517413,0.4228855721393035,0.4527363184079602
294,wrong_fragment,dst_host_srv_diff_host_rate,0.4626865671641791,0.4626865671641791,0.43283582089552236,0.4527363184079602
855,dst_host_srv_serror_rate,dst_host_rerror_rate,0.4626865671641791,0.44776119402985076,0.44776119402985076,0.4527363184079602
174,src_bytes,is_guest_login,0.43283582089552236,0.47761194029850745,0.44776119402985076,0.4527363184079602
643,is_host_login,dst_host_diff_srv_rate,0.43283582089552236,0.43781094527363185,0.48258706467661694,0.45107794361525705
736,srv_serror_rate,dst_host_serror_rate,0.46766169154228854,0.472636815920398,0.4129353233830846,0.45107794361525705
483,su_attempted,num_root,0.44776119402985076,0.48258706467661694,0.4228855721393035,0.45107794361525705
465,root_shell,serror_rate,0.4427860696517413,0.472636815920398,0.43781094527363185,0.45107794361525705
349,hot,rerror_rate,0.4527363184079602,0.4626865671641791,0.43781094527363185,0.45107794361525705
393,num_failed_logins,dst_host_rerror_rate,0.5024875621890548,0.417910447761194,0.43283582089552236,0.45107794361525705
129,flag,root_shell,0.4427860696517413,0.4975124378109453,0.4079601990049751,0.4494195688225539
657,is_guest_login,same_srv_rate,0.4079601990049751,0.4626865671641791,0.47761194029850745,0.4494195688225539
559,num_file_creations,dst_host_srv_rerror_rate,0.4577114427860697,0.48756218905472637,0.40298507462686567,0.4494195688225539
461,root_shell,is_host_login,0.4925373134328358,0.43781094527363185,0.417910447761194,0.4494195688225539
520,num_root,rerror_rate,0.42786069651741293,0.4427860696517413,0.47761194029850745,0.4494195688225539
333,hot,num_failed_logins,0.44776119402985076,0.44776119402985076,0.4527363184079602,0.4494195688225539
612,num_outbound_cmds,serror_rate,0.4626865671641791,0.42786069651741293,0.4577114427860697,0.4494195688225539
477,root_shell,dst_host_srv_diff_host_rate,0.4228855721393035,0.4427860696517413,0.48258706467661694,0.4494195688225539
532,num_root,dst_host_srv_serror_rate,0.4129353233830846,0.4527363184079602,0.47761194029850745,0.44776119402985076
271,wrong_fragment,root_shell,0.417910447761194,0.48258706467661694,0.4427860696517413,0.4477611940298507
636,is_host_login,srv_rerror_rate,0.43781094527363185,0.46766169154228854,0.43781094527363185,0.4477611940298507
728,srv_serror_rate,diff_srv_rate,0.417910447761194,0.46766169154228854,0.4577114427860697,0.4477611940298507
647,is_host_login,dst_host_srv_serror_rate,0.42786069651741293,0.4427860696517413,0.472636815920398,0.4477611940298507
382,num_failed_logins,same_srv_rate,0.39303482587064675,0.48756218905472637,0.4626865671641791,0.4477611940298507
433,num_compromised,is_host_login,0.4527363184079602,0.43283582089552236,0.4577114427860697,0.4477611940298507
480,root_shell,dst_host_rerror_rate,0.43781094527363185,0.43781094527363185,0.46766169154228854,0.4477611940298507
78,protocol_type,dst_host_rerror_rate,0.4228855721393035,0.4527363184079602,0.46766169154228854,0.4477611940298507
720,serror_rate,dst_host_serror_rate,0.4626865671641791,0.43283582089552236,0.44776119402985076,0.4477611940298507
177,src_bytes,serror_rate,0.48258706467661694,0.43781094527363185,0.417910447761194,0.4461028192371476
564,num_shells,is_guest_login,0.4129353233830846,0.47761194029850745,0.44776119402985076,0.4461028192371476
274,wrong_fragment,num_file_creations,0.4626865671641791,0.4129353233830846,0.4626865671641791,0.4461028192371476
318,urgent,srv_rerror_rate,0.417910447761194,0.4577114427860697,0.4626865671641791,0.4461028192371476
298,wrong_fragment,dst_host_srv_rerror_rate,0.47761194029850745,0.39800995024875624,0.4626865671641791,0.4461028192371476
562,num_shells,num_outbound_cmds,0.4577114427860697,0.472636815920398,0.4079601990049751,0.4461028192371476
310,urgent,num_outbound_cmds,0.4577114427860697,0.48756218905472637,0.39303482587064675,0.4461028192371476
131,flag,num_root,0.46766169154228854,0.4527363184079602,0.417910447761194,0.4461028192371475
569,num_shells,rerror_rate,0.42786069651741293,0.43781094527363185,0.46766169154228854,0.4444444444444445
704,srv_count,dst_host_srv_serror_rate,0.472636815920398,0.417910447761194,0.4427860696517413,0.4444444444444445
762,srv_rerror_rate,dst_host_diff_srv_rate,0.43283582089552236,0.4427860696517413,0.4577114427860697,0.4444444444444445
744,rerror_rate,srv_diff_host_rate,0.4228855721393035,0.4577114427860697,0.4527363184079602,0.4444444444444445
379,num_failed_logins,srv_serror_rate,0.4527363184079602,0.43781094527363185,0.4427860696517413,0.4444444444444445
667,is_guest_login,dst_host_srv_serror_rate,0.4427860696517413,0.4427860696517413,0.44776119402985076,0.4444444444444444
251,land,srv_rerror_rate,0.47761194029850745,0.40298507462686567,0.4527363184079602,0.4444444444444444
757,srv_rerror_rate,diff_srv_rate,0.46766169154228854,0.4427860696517413,0.4228855721393035,0.4444444444444444
777,same_srv_rate,dst_host_srv_diff_host_rate,0.38308457711442784,0.4975124378109453,0.4527363184079602,0.4444444444444444
828,dst_host_same_srv_rate,dst_host_serror_rate,0.46766169154228854,0.43781094527363185,0.42786069651741293,0.4444444444444444
64,protocol_type,srv_serror_rate,0.4079601990049751,0.472636815920398,0.4527363184079602,0.4444444444444444
370,num_failed_logins,num_file_creations,0.43283582089552236,0.43781094527363185,0.4626865671641791,0.4444444444444444
36,duration,dst_host_serror_rate,0.43283582089552236,0.4228855721393035,0.47761194029850745,0.4444444444444444
